ethnicity,LAD19CD,count_lad19
Mixed/multiple ethnic groups: White and Black Caribbean,E07000169,190
Mixed/multiple ethnic groups: White and Black African,E07000169,50
Mixed/multiple ethnic groups: White and Asian,E07000169,271
Mixed/multiple ethnic groups: Other Mixed,E07000169,115
Asian/Asian British,E07000169,493
Asian/Asian British: Indian,E07000169,175
Asian/Asian British: Pakistani,E07000169,17
Asian/Asian British: Bangladeshi,E07000169,2
Asian/Asian British: Chinese,E07000169,170
Asian/Asian British: Other Asian,E07000169,129
Black/African/Caribbean/Black British,E07000169,212
Black/African/Caribbean/Black British: African,E07000169,170
Black/African/Caribbean/Black British: Caribbean,E07000169,33
Black/African/Caribbean/Black British: Other Black,E07000169,9
Other ethnic group,E07000169,41
Other ethnic group: Arab,E07000169,9
Other ethnic group: Any other ethnic group,E07000169,32
All usual residents,E08000016,231221
White,E08000016,226285
White: English/Welsh/Scottish/Northern Irish/British,E08000016,222164
White: Irish,E08000016,567
White: Gypsy or Irish Traveller,E08000016,163
White: Other White,E08000016,3391
Mixed/multiple ethnic groups,E08000016,1630
Mixed/multiple ethnic groups: White and Black Caribbean,E08000016,644
Mixed/multiple ethnic groups: White and Black African,E08000016,178
Mixed/multiple ethnic groups: White and Asian,E08000016,434
Mixed/multiple ethnic groups: Other Mixed,E08000016,374
Asian/Asian British,E08000016,1661
Asian/Asian British: Indian,E08000016,442
Asian/Asian British: Pakistani,E08000016,211
Asian/Asian British: Bangladeshi,E08000016,60
Asian/Asian British: Chinese,E08000016,440
Asian/Asian British: Other Asian,E08000016,508
Black/African/Caribbean/Black British,E08000016,1221
Black/African/Caribbean/Black British: African,E08000016,995
Black/African/Caribbean/Black British: Caribbean,E08000016,149
Black/African/Caribbean/Black British: Other Black,E08000016,77
Other ethnic group,E08000016,424
Other ethnic group: Arab,E08000016,168
Other ethnic group: Any other ethnic group,E08000016,256
All usual residents,E08000017,302402
White,E08000017,288066
White: English/Welsh/Scottish/Northern Irish/British,E08000017,277740
White: Irish,E08000017,1183
White: Gypsy or Irish Traveller,E08000017,587
White: Other White,E08000017,8556
Mixed/multiple ethnic groups,E08000017,3321
Mixed/multiple ethnic groups: White and Black Caribbean,E08000017,1413
Mixed/multiple ethnic groups: White and Black African,E08000017,440
Mixed/multiple ethnic groups: White and Asian,E08000017,877
Mixed/multiple ethnic groups: Other Mixed,E08000017,591
Asian/Asian British,E08000017,7614
Asian/Asian British: Indian,E08000017,1865
Asian/Asian British: Pakistani,E08000017,2728
Asian/Asian British: Bangladeshi,E08000017,117
Asian/Asian British: Chinese,E08000017,1121
Asian/Asian British: Other Asian,E08000017,1783
Black/African/Caribbean/Black British,E08000017,2337
Black/African/Caribbean/Black British: African,E08000017,1309
Black/African/Caribbean/Black British: Caribbean,E08000017,778
Black/African/Caribbean/Black British: Other Black,E08000017,250
Other ethnic group,E08000017,1064
Other ethnic group: Arab,E08000017,231
Other ethnic group: Any other ethnic group,E08000017,833
All usual residents,E08000018,257280
White,E08000018,240758
White: English/Welsh/Scottish/Northern Irish/British,E08000018,236438
White: Irish,E08000018,776
White: Gypsy or Irish Traveller,E08000018,126
White: Other White,E08000018,3418
Mixed/multiple ethnic groups,E08000018,2551
Mixed/multiple ethnic groups: White and Black Caribbean,E08000018,787
Mixed/multiple ethnic groups: White and Black African,E08000018,301
Mixed/multiple ethnic groups: White and Asian,E08000018,865
Mixed/multiple ethnic groups: Other Mixed,E08000018,598
Asian/Asian British,E08000018,10551
Asian/Asian British: Indian,E08000018,961
Asian/Asian British: Pakistani,E08000018,7609
Asian/Asian British: Bangladeshi,E08000018,109
Asian/Asian British: Chinese,E08000018,592
Asian/Asian British: Other Asian,E08000018,1280
Black/African/Caribbean/Black British,E08000018,2112
Black/African/Caribbean/Black British: African,E08000018,1672
Black/African/Caribbean/Black British: Caribbean,E08000018,283
Black/African/Caribbean/Black British: Other Black,E08000018,157
Other ethnic group,E08000018,1308
Other ethnic group: Arab,E08000018,581
Other ethnic group: Any other ethnic group,E08000018,727
All usual residents,E08000019,552698
White,E08000019,462544
White: English/Welsh/Scottish/Northern Irish/British,E08000019,446837
White: Irish,E08000019,2891
White: Gypsy or Irish Traveller,E08000019,358
White: Other White,E08000019,12458
Mixed/multiple ethnic groups,E08000019,13289
Mixed/multiple ethnic groups: White and Black Caribbean,E08000019,5450
Mixed/multiple ethnic groups: White and Black African,E08000019,1296
Mixed/multiple ethnic groups: White and Asian,E08000019,3490
Mixed/multiple ethnic groups: Other Mixed,E08000019,3053
Asian/Asian British,E08000019,44385
Asian/Asian British: Indian,E08000019,5868
Asian/Asian British: Pakistani,E08000019,21990
Asian/Asian British: Bangladeshi,E08000019,3326
Asian/Asian British: Chinese,E08000019,7398
Asian/Asian British: Other Asian,E08000019,5803
Black/African/Caribbean/Black British,E08000019,20082
Black/African/Caribbean/Black British: African,E08000019,11543
Black/African/Caribbean/Black British: Caribbean,E08000019,5506
Black/African/Caribbean/Black British: Other Black,E08000019,3033
Other ethnic group,E08000019,12398
Other ethnic group: Arab,E08000019,8432
Other ethnic group: Any other ethnic group,E08000019,3966
All usual residents,E08000032,522452
White,E08000032,352317
White: English/Welsh/Scottish/Northern Irish/British,E08000032,333628
White: Irish,E08000032,2541
White: Gypsy or Irish Traveller,E08000032,433
White: Other White,E08000032,15715
Mixed/multiple ethnic groups,E08000032,12979
Mixed/multiple ethnic groups: White and Black Caribbean,E08000032,4663
Mixed/multiple ethnic groups: White and Black African,E08000032,875
Mixed/multiple ethnic groups: White and Asian,E08000032,5677
Mixed/multiple ethnic groups: Other Mixed,E08000032,1764
Asian/Asian British,E08000032,140149
Asian/Asian British: Indian,E08000032,13555
Asian/Asian British: Pakistani,E08000032,106614
Asian/Asian British: Bangladeshi,E08000032,9863
Asian/Asian British: Chinese,E08000032,2086
Asian/Asian British: Other Asian,E08000032,8031
Black/African/Caribbean/Black British,E08000032,9267
Black/African/Caribbean/Black British: African,E08000032,4993
Black/African/Caribbean/Black British: Caribbean,E08000032,3581
Black/African/Caribbean/Black British: Other Black,E08000032,693
Other ethnic group,E08000032,7740
Other ethnic group: Arab,E08000032,3714
Other ethnic group: Any other ethnic group,E08000032,4026
All usual residents,E08000033,203826
White,E08000033,182787
White: English/Welsh/Scottish/Northern Irish/British,E08000033,176732
White: Irish,E08000033,1795
White: Gypsy or Irish Traveller,E08000033,80
White: Other White,E08000033,4180
Mixed/multiple ethnic groups,E08000033,2797
Mixed/multiple ethnic groups: White and Black Caribbean,E08000033,1097
Mixed/multiple ethnic groups: White and Black African,E08000033,247
Mixed/multiple ethnic groups: White and Asian,E08000033,907
Mixed/multiple ethnic groups: Other Mixed,E08000033,546
Asian/Asian British,E08000033,16875
Asian/Asian British: Indian,E08000033,1130
Asian/Asian British: Pakistani,E08000033,13904
Asian/Asian British: Bangladeshi,E08000033,574
Asian/Asian British: Chinese,E08000033,459
Asian/Asian British: Other Asian,E08000033,808
Black/African/Caribbean/Black British,E08000033,899
Black/African/Caribbean/Black British: African,E08000033,479
Black/African/Caribbean/Black British: Caribbean,E08000033,320
Black/African/Caribbean/Black British: Other Black,E08000033,100
Other ethnic group,E08000033,468
Other ethnic group: Arab,E08000033,111
Other ethnic group: Any other ethnic group,E08000033,357
All usual residents,E08000034,422458
White,E08000034,334270
White: English/Welsh/Scottish/Northern Irish/British,E08000034,323890
White: Irish,E08000034,2635
White: Gypsy or Irish Traveller,E08000034,158
White: Other White,E08000034,7587
Mixed/multiple ethnic groups,E08000034,9790
Mixed/multiple ethnic groups: White and Black Caribbean,E08000034,5167
Mixed/multiple ethnic groups: White and Black African,E08000034,641
Mixed/multiple ethnic groups: White and Asian,E08000034,2714
Mixed/multiple ethnic groups: Other Mixed,E08000034,1268
Asian/Asian British,E08000034,67782
Asian/Asian British: Indian,E08000034,20797
Asian/Asian British: Pakistani,E08000034,41802
Asian/Asian British: Bangladeshi,E08000034,731
Asian/Asian British: Chinese,E08000034,1452
Asian/Asian British: Other Asian,E08000034,3000
Black/African/Caribbean/Black British,E08000034,7905
Black/African/Caribbean/Black British: African,E08000034,2364
Black/African/Caribbean/Black British: Caribbean,E08000034,4626
Black/African/Caribbean/Black British: Other Black,E08000034,915
Other ethnic group,E08000034,2711
Other ethnic group: Arab,E08000034,1214
Other ethnic group: Any other ethnic group,E08000034,1497
All usual residents,E08000035,751485
White,E08000035,639487
White: English/Welsh/Scottish/Northern Irish/British,E08000035,609714
White: Irish,E08000035,7031
White: Gypsy or Irish Traveller,E08000035,687
White: Other White,E08000035,22055
Mixed/multiple ethnic groups,E08000035,19632
Mixed/multiple ethnic groups: White and Black Caribbean,E08000035,8813
Mixed/multiple ethnic groups: White and Black African,E08000035,2493
Mixed/multiple ethnic groups: White and Asian,E08000035,4906
Mixed/multiple ethnic groups: Other Mixed,E08000035,3420
Asian/Asian British,E08000035,58243
Asian/Asian British: Indian,E08000035,16130
Asian/Asian British: Pakistani,E08000035,22492
Asian/Asian British: Bangladeshi,E08000035,4432
Asian/Asian British: Chinese,E08000035,5933
Asian/Asian British: Other Asian,E08000035,9256
Black/African/Caribbean/Black British,E08000035,25893
Black/African/Caribbean/Black British: African,E08000035,14894
Black/African/Caribbean/Black British: Caribbean,E08000035,6728
Black/African/Caribbean/Black British: Other Black,E08000035,4271
Other ethnic group,E08000035,8230
Other ethnic group: Arab,E08000035,3791
Other ethnic group: Any other ethnic group,E08000035,4439
All usual residents,E08000036,325837
White,E08000036,310957
White: English/Welsh/Scottish/Northern Irish/British,E08000036,302331
White: Irish,E08000036,908
White: Gypsy or Irish Traveller,E08000036,302
White: Other White,E08000036,7416
Mixed/multiple ethnic groups,E08000036,2928
Mixed/multiple ethnic groups: White and Black Caribbean,E08000036,1087
Mixed/multiple ethnic groups: White and Black African,E08000036,368
Mixed/multiple ethnic groups: White and Asian,E08000036,894
Mixed/multiple ethnic groups: Other Mixed,E08000036,579
Asian/Asian British,E08000036,8498
Asian/Asian British: Indian,E08000036,1540
Asian/Asian British: Pakistani,E08000036,4896
Asian/Asian British: Bangladeshi,E08000036,32
Asian/Asian British: Chinese,E08000036,853
Asian/Asian British: Other Asian,E08000036,1177
Black/African/Caribbean/Black British,E08000036,2512
Black/African/Caribbean/Black British: African,E08000036,1955
Black/African/Caribbean/Black British: Caribbean,E08000036,326
Black/African/Caribbean/Black British: Other Black,E08000036,231
Other ethnic group,E08000036,942
Other ethnic group: Arab,E08000036,382
Other ethnic group: Any other ethnic group,E08000036,560
All usual residents,E06000015,248752
White,E06000015,199751
White: English/Welsh/Scottish/Northern Irish/British,E06000015,187386
White: Irish,E06000015,2319
White: Gypsy or Irish Traveller,E06000015,295
White: Other White,E06000015,9751
Mixed/multiple ethnic groups,E06000015,7232
Mixed/multiple ethnic groups: White and Black Caribbean,E06000015,3916
Mixed/multiple ethnic groups: White and Black African,E06000015,533
Mixed/multiple ethnic groups: White and Asian,E06000015,1772
Mixed/multiple ethnic groups: Other Mixed,E06000015,1011
Asian/Asian British,E06000015,31095
Asian/Asian British: Indian,E06000015,10907
Asian/Asian British: Pakistani,E06000015,14620
Asian/Asian British: Bangladeshi,E06000015,658
Asian/Asian British: Chinese,E06000015,1292
Asian/Asian British: Other Asian,E06000015,3618
Black/African/Caribbean/Black British,E06000015,7320
Black/African/Caribbean/Black British: African,E06000015,3156
Black/African/Caribbean/Black British: Caribbean,E06000015,3405
Black/African/Caribbean/Black British: Other Black,E06000015,759
Other ethnic group,E06000015,3354
Other ethnic group: Arab,E06000015,861
Other ethnic group: Any other ethnic group,E06000015,2493
All usual residents,E06000016,329839
White,E06000016,166636
White: English/Welsh/Scottish/Northern Irish/British,E06000016,148629
White: Irish,E06000016,2524
White: Gypsy or Irish Traveller,E06000016,417
White: Other White,E06000016,15066
Mixed/multiple ethnic groups,E06000016,11580
Mixed/multiple ethnic groups: White and Black Caribbean,E06000016,4691
Mixed/multiple ethnic groups: White and Black African,E06000016,1161
Mixed/multiple ethnic groups: White and Asian,E06000016,3388
Mixed/multiple ethnic groups: Other Mixed,E06000016,2340
Asian/Asian British,E06000016,122470
Asian/Asian British: Indian,E06000016,93335
Asian/Asian British: Pakistani,E06000016,8067
Asian/Asian British: Bangladeshi,E06000016,3642
Asian/Asian British: Chinese,E06000016,4245
Asian/Asian British: Other Asian,E06000016,13181
Black/African/Caribbean/Black British,E06000016,20585
Black/African/Caribbean/Black British: African,E06000016,12480
Black/African/Caribbean/Black British: Caribbean,E06000016,4790
Black/African/Caribbean/Black British: Other Black,E06000016,3315
Other ethnic group,E06000016,8568
Other ethnic group: Arab,E06000016,3311
Other ethnic group: Any other ethnic group,E06000016,5257
All usual residents,E06000018,305680
White,E06000018,218698
White: English/Welsh/Scottish/Northern Irish/British,E06000018,199990
White: Irish,E06000018,2819
White: Gypsy or Irish Traveller,E06000018,326
White: Other White,E06000018,15563
Mixed/multiple ethnic groups,E06000018,20265
Mixed/multiple ethnic groups: White and Black Caribbean,E06000018,12166
Mixed/multiple ethnic groups: White and Black African,E06000018,2004
Mixed/multiple ethnic groups: White and Asian,E06000018,3304
Mixed/multiple ethnic groups: Other Mixed,E06000018,2791
Asian/Asian British,E06000018,40039
Asian/Asian British: Indian,E06000018,9901
Asian/Asian British: Pakistani,E06000018,16771
Asian/Asian British: Bangladeshi,E06000018,1049
Asian/Asian British: Chinese,E06000018,5988
Asian/Asian British: Other Asian,E06000018,6330
Black/African/Caribbean/Black British,E06000018,22185
Black/African/Caribbean/Black British: African,E06000018,9877
Black/African/Caribbean/Black British: Caribbean,E06000018,9382
Black/African/Caribbean/Black British: Other Black,E06000018,2926
Other ethnic group,E06000018,4493
Other ethnic group: Arab,E06000018,2372
Other ethnic group: Any other ethnic group,E06000018,2121
All usual residents,E06000017,37369
White,E06000017,36301
White: English/Welsh/Scottish/Northern Irish/British,E06000017,35241
White: Irish,E06000017,217
White: Gypsy or Irish Traveller,E06000017,58
White: Other White,E06000017,785
Mixed/multiple ethnic groups,E06000017,389
Mixed/multiple ethnic groups: White and Black Caribbean,E06000017,123
Mixed/multiple ethnic groups: White and Black African,E06000017,23
Mixed/multiple ethnic groups: White and Asian,E06000017,141
Mixed/multiple ethnic groups: Other Mixed,E06000017,102
Asian/Asian British,E06000017,365
Asian/Asian British: Indian,E06000017,113
Asian/Asian British: Pakistani,E06000017,38
Asian/Asian British: Bangladeshi,E06000017,7
Asian/Asian British: Chinese,E06000017,125
Asian/Asian British: Other Asian,E06000017,82
Black/African/Caribbean/Black British,E06000017,251
Black/African/Caribbean/Black British: African,E06000017,116
Black/African/Caribbean/Black British: Caribbean,E06000017,107
Black/African/Caribbean/Black British: Other Black,E06000017,28
Other ethnic group,E06000017,63
Other ethnic group: Arab,E06000017,5
Other ethnic group: Any other ethnic group,E06000017,58
All usual residents,E07000032,122309
White,E07000032,120023
White: English/Welsh/Scottish/Northern Irish/British,E07000032,117988
White: Irish,E07000032,428
White: Gypsy or Irish Traveller,E07000032,44
White: Other White,E07000032,1563
Mixed/multiple ethnic groups,E07000032,980
Mixed/multiple ethnic groups: White and Black Caribbean,E07000032,438
Mixed/multiple ethnic groups: White and Black African,E07000032,93
Mixed/multiple ethnic groups: White and Asian,E07000032,282
Mixed/multiple ethnic groups: Other Mixed,E07000032,167
Asian/Asian British,E07000032,929
Asian/Asian British: Indian,E07000032,416
Asian/Asian British: Pakistani,E07000032,80
Asian/Asian British: Bangladeshi,E07000032,11
Asian/Asian British: Chinese,E07000032,201
Asian/Asian British: Other Asian,E07000032,221
Black/African/Caribbean/Black British,E07000032,253
Black/African/Caribbean/Black British: African,E07000032,120
Black/African/Caribbean/Black British: Caribbean,E07000032,106
Black/African/Caribbean/Black British: Other Black,E07000032,27
Other ethnic group,E07000032,124
Other ethnic group: Arab,E07000032,27
Other ethnic group: Any other ethnic group,E07000032,97
All usual residents,E07000033,75866
White,E07000033,74452
White: English/Welsh/Scottish/Northern Irish/British,E07000033,73058
White: Irish,E07000033,199
White: Gypsy or Irish Traveller,E07000033,66
White: Other White,E07000033,1129
Mixed/multiple ethnic groups,E07000033,518
Mixed/multiple ethnic groups: White and Black Caribbean,E07000033,248
Mixed/multiple ethnic groups: White and Black African,E07000033,63
Mixed/multiple ethnic groups: White and Asian,E07000033,136
Mixed/multiple ethnic groups: Other Mixed,E07000033,71
Asian/Asian British,E07000033,612
Asian/Asian British: Indian,E07000033,207
Asian/Asian British: Pakistani,E07000033,56
Asian/Asian British: Bangladeshi,E07000033,6
Asian/Asian British: Chinese,E07000033,166
Asian/Asian British: Other Asian,E07000033,177
Black/African/Caribbean/Black British,E07000033,267
Black/African/Caribbean/Black British: African,E07000033,175
Black/African/Caribbean/Black British: Caribbean,E07000033,51
Black/African/Caribbean/Black British: Other Black,E07000033,41
Other ethnic group,E07000033,17
Other ethnic group: Arab,E07000033,2
Other ethnic group: Any other ethnic group,E07000033,15
All usual residents,E07000034,103788
White,E07000034,100172
White: English/Welsh/Scottish/Northern Irish/British,E07000034,98456
White: Irish,E07000034,386
White: Gypsy or Irish Traveller,E07000034,5
White: Other White,E07000034,1325
Mixed/multiple ethnic groups,E07000034,1094
Mixed/multiple ethnic groups: White and Black Caribbean,E07000034,532
Mixed/multiple ethnic groups: White and Black African,E07000034,97
Mixed/multiple ethnic groups: White and Asian,E07000034,287
Mixed/multiple ethnic groups: Other Mixed,E07000034,178
Asian/Asian British,E07000034,1592
Asian/Asian British: Indian,E07000034,487
Asian/Asian British: Pakistani,E07000034,334
Asian/Asian British: Bangladeshi,E07000034,141
Asian/Asian British: Chinese,E07000034,367
Asian/Asian British: Other Asian,E07000034,263
Black/African/Caribbean/Black British,E07000034,782
Black/African/Caribbean/Black British: African,E07000034,433
Black/African/Caribbean/Black British: Caribbean,E07000034,271
Black/African/Caribbean/Black British: Other Black,E07000034,78
Other ethnic group,E07000034,148
Other ethnic group: Arab,E07000034,60
Other ethnic group: Any other ethnic group,E07000034,88
All usual residents,E07000035,71116
White,E07000035,70117
White: English/Welsh/Scottish/Northern Irish/British,E07000035,68835
White: Irish,E07000035,321
White: Gypsy or Irish Traveller,E07000035,15
White: Other White,E07000035,946
Mixed/multiple ethnic groups,E07000035,466
Mixed/multiple ethnic groups: White and Black Caribbean,E07000035,130
Mixed/multiple ethnic groups: White and Black African,E07000035,58
Mixed/multiple ethnic groups: White and Asian,E07000035,173
Mixed/multiple ethnic groups: Other Mixed,E07000035,105
Asian/Asian British,E07000035,398
Asian/Asian British: Indian,E07000035,97
Asian/Asian British: Pakistani,E07000035,84
Asian/Asian British: Bangladeshi,E07000035,4
Asian/Asian British: Chinese,E07000035,95
Asian/Asian British: Other Asian,E07000035,118
Black/African/Caribbean/Black British,E07000035,87
Black/African/Caribbean/Black British: African,E07000035,33
Black/African/Caribbean/Black British: Caribbean,E07000035,36
Black/African/Caribbean/Black British: Other Black,E07000035,18
Other ethnic group,E07000035,48
Other ethnic group: Arab,E07000035,10
Other ethnic group: Any other ethnic group,E07000035,38
All usual residents,E07000036,112081
White,E07000036,108765
White: English/Welsh/Scottish/Northern Irish/British,E07000036,106673
White: Irish,E07000036,574
White: Gypsy or Irish Traveller,E07000036,29
White: Other White,E07000036,1489
Mixed/multiple ethnic groups,E07000036,1269
Mixed/multiple ethnic groups: White and Black Caribbean,E07000036,734
Mixed/multiple ethnic groups: White and Black African,E07000036,72
Mixed/multiple ethnic groups: White and Asian,E07000036,276
Mixed/multiple ethnic groups: Other Mixed,E07000036,187
Asian/Asian British,E07000036,1383
Asian/Asian British: Indian,E07000036,778
Asian/Asian British: Pakistani,E07000036,89
Asian/Asian British: Bangladeshi,E07000036,21
Asian/Asian British: Chinese,E07000036,266
Asian/Asian British: Other Asian,E07000036,229
Black/African/Caribbean/Black British,E07000036,536
Black/African/Caribbean/Black British: African,E07000036,125
Black/African/Caribbean/Black British: Caribbean,E07000036,337
Black/African/Caribbean/Black British: Other Black,E07000036,74
Other ethnic group,E07000036,128
Other ethnic group: Arab,E07000036,34
Other ethnic group: Any other ethnic group,E07000036,94
All usual residents,E07000037,90892
White,E07000037,88954
White: English/Welsh/Scottish/Northern Irish/British,E07000037,87131
White: Irish,E07000037,596
White: Gypsy or Irish Traveller,E07000037,10
White: Other White,E07000037,1217
Mixed/multiple ethnic groups,E07000037,944
Mixed/multiple ethnic groups: White and Black Caribbean,E07000037,348
Mixed/multiple ethnic groups: White and Black African,E07000037,113
Mixed/multiple ethnic groups: White and Asian,E07000037,284
Mixed/multiple ethnic groups: Other Mixed,E07000037,199
Asian/Asian British,E07000037,711
Asian/Asian British: Indian,E07000037,148
Asian/Asian British: Pakistani,E07000037,78
Asian/Asian British: Bangladeshi,E07000037,10
Asian/Asian British: Chinese,E07000037,228
Asian/Asian British: Other Asian,E07000037,247
Black/African/Caribbean/Black British,E07000037,184
Black/African/Caribbean/Black British: African,E07000037,87
Black/African/Caribbean/Black British: Caribbean,E07000037,82
Black/African/Caribbean/Black British: Other Black,E07000037,15
Other ethnic group,E07000037,99
Other ethnic group: Arab,E07000037,33
Other ethnic group: Any other ethnic group,E07000037,66
All usual residents,E07000038,99023
White,E07000038,97084
White: English/Welsh/Scottish/Northern Irish/British,E07000038,95968
White: Irish,E07000038,264
White: Gypsy or Irish Traveller,E07000038,70
White: Other White,E07000038,782
Mixed/multiple ethnic groups,E07000038,786
Mixed/multiple ethnic groups: White and Black Caribbean,E07000038,315
Mixed/multiple ethnic groups: White and Black African,E07000038,103
Mixed/multiple ethnic groups: White and Asian,E07000038,250
Mixed/multiple ethnic groups: Other Mixed,E07000038,118
Asian/Asian British,E07000038,795
Asian/Asian British: Indian,E07000038,350
Asian/Asian British: Pakistani,E07000038,79
Asian/Asian British: Bangladeshi,E07000038,32
Asian/Asian British: Chinese,E07000038,187
Asian/Asian British: Other Asian,E07000038,147
Black/African/Caribbean/Black British,E07000038,236
Black/African/Caribbean/Black British: African,E07000038,156
Black/African/Caribbean/Black British: Caribbean,E07000038,65
Black/African/Caribbean/Black British: Other Black,E07000038,15
Other ethnic group,E07000038,122
Other ethnic group: Arab,E07000038,40
Other ethnic group: Any other ethnic group,E07000038,82
All usual residents,E07000039,94611
White,E07000039,90527
White: English/Welsh/Scottish/Northern Irish/British,E07000039,88925
White: Irish,E07000039,386
White: Gypsy or Irish Traveller,E07000039,72
White: Other White,E07000039,1144
Mixed/multiple ethnic groups,E07000039,1062
Mixed/multiple ethnic groups: White and Black Caribbean,E07000039,428
Mixed/multiple ethnic groups: White and Black African,E07000039,79
Mixed/multiple ethnic groups: White and Asian,E07000039,365
Mixed/multiple ethnic groups: Other Mixed,E07000039,190
Asian/Asian British,E07000039,2375
Asian/Asian British: Indian,E07000039,1649
Asian/Asian British: Pakistani,E07000039,179
Asian/Asian British: Bangladeshi,E07000039,4
Asian/Asian British: Chinese,E07000039,217
Asian/Asian British: Other Asian,E07000039,326
Black/African/Caribbean/Black British,E07000039,425
Black/African/Caribbean/Black British: African,E07000039,174
Black/African/Caribbean/Black British: Caribbean,E07000039,205
Black/African/Caribbean/Black British: Other Black,E07000039,46
Other ethnic group,E07000039,222
Other ethnic group: Arab,E07000039,45
Other ethnic group: Any other ethnic group,E07000039,177
All usual residents,E07000129,93915
White,E07000129,85451
White: English/Welsh/Scottish/Northern Irish/British,E07000129,83161
White: Irish,E07000129,545
White: Gypsy or Irish Traveller,E07000129,101
White: Other White,E07000129,1644
Mixed/multiple ethnic groups,E07000129,1505
Mixed/multiple ethnic groups: White and Black Caribbean,E07000129,645
Mixed/multiple ethnic groups: White and Black African,E07000129,108
Mixed/multiple ethnic groups: White and Asian,E07000129,486
Mixed/multiple ethnic groups: Other Mixed,E07000129,266
Asian/Asian British,E07000129,5718
Asian/Asian British: Indian,E07000129,4399
Asian/Asian British: Pakistani,E07000129,281
Asian/Asian British: Bangladeshi,E07000129,18
Asian/Asian British: Chinese,E07000129,435
Asian/Asian British: Other Asian,E07000129,585
Black/African/Caribbean/Black British,E07000129,900
Black/African/Caribbean/Black British: African,E07000129,371
Black/African/Caribbean/Black British: Caribbean,E07000129,398
Black/African/Caribbean/Black British: Other Black,E07000129,131
Other ethnic group,E07000129,341
Other ethnic group: Arab,E07000129,96
Other ethnic group: Any other ethnic group,E07000129,245
All usual residents,E07000130,166100
White,E07000130,145114
White: English/Welsh/Scottish/Northern Irish/British,E07000130,139978
White: Irish,E07000130,989
White: Gypsy or Irish Traveller,E07000130,74
White: Other White,E07000130,4073
Mixed/multiple ethnic groups,E07000130,2577
Mixed/multiple ethnic groups: White and Black Caribbean,E07000130,815
Mixed/multiple ethnic groups: White and Black African,E07000130,244
Mixed/multiple ethnic groups: White and Asian,E07000130,1045
Mixed/multiple ethnic groups: Other Mixed,E07000130,473
Asian/Asian British,E07000130,16138
Asian/Asian British: Indian,E07000130,10225
Asian/Asian British: Pakistani,E07000130,428
Asian/Asian British: Bangladeshi,E07000130,2022
Asian/Asian British: Chinese,E07000130,1943
Asian/Asian British: Other Asian,E07000130,1520
Black/African/Caribbean/Black British,E07000130,1327
Black/African/Caribbean/Black British: African,E07000130,875
Black/African/Caribbean/Black British: Caribbean,E07000130,339
Black/African/Caribbean/Black British: Other Black,E07000130,113
Other ethnic group,E07000130,944
Other ethnic group: Arab,E07000130,442
Other ethnic group: Any other ethnic group,E07000130,502
All usual residents,E07000131,85382
White,E07000131,81316
White: English/Welsh/Scottish/Northern Irish/British,E07000131,79242
White: Irish,E07000131,486
White: Gypsy or Irish Traveller,E07000131,61
White: Other White,E07000131,1527
Mixed/multiple ethnic groups,E07000131,971
Mixed/multiple ethnic groups: White and Black Caribbean,E07000131,308
Mixed/multiple ethnic groups: White and Black African,E07000131,92
Mixed/multiple ethnic groups: White and Asian,E07000131,384
Mixed/multiple ethnic groups: Other Mixed,E07000131,187
Asian/Asian British,E07000131,2563
Asian/Asian British: Indian,E07000131,1849
Asian/Asian British: Pakistani,E07000131,132
Asian/Asian British: Bangladeshi,E07000131,44
Asian/Asian British: Chinese,E07000131,226
Asian/Asian British: Other Asian,E07000131,312
Black/African/Caribbean/Black British,E07000131,327
Black/African/Caribbean/Black British: African,E07000131,179
Black/African/Caribbean/Black British: Caribbean,E07000131,111
Black/African/Caribbean/Black British: Other Black,E07000131,37
Other ethnic group,E07000131,205
Other ethnic group: Arab,E07000131,35
Other ethnic group: Any other ethnic group,E07000131,170
All usual residents,E07000132,105078
White,E07000132,101369
White: English/Welsh/Scottish/Northern Irish/British,E07000132,99440
White: Irish,E07000132,451
White: Gypsy or Irish Traveller,E07000132,86
White: Other White,E07000132,1392
Mixed/multiple ethnic groups,E07000132,1027
Mixed/multiple ethnic groups: White and Black Caribbean,E07000132,364
Mixed/multiple ethnic groups: White and Black African,E07000132,81
Mixed/multiple ethnic groups: White and Asian,E07000132,390
Mixed/multiple ethnic groups: Other Mixed,E07000132,192
Asian/Asian British,E07000132,2246
Asian/Asian British: Indian,E07000132,1390
Asian/Asian British: Pakistani,E07000132,158
Asian/Asian British: Bangladeshi,E07000132,81
Asian/Asian British: Chinese,E07000132,269
Asian/Asian British: Other Asian,E07000132,348
Black/African/Caribbean/Black British,E07000132,262
Black/African/Caribbean/Black British: African,E07000132,133
Black/African/Caribbean/Black British: Caribbean,E07000132,110
Black/African/Caribbean/Black British: Other Black,E07000132,19
Other ethnic group,E07000132,174
Other ethnic group: Arab,E07000132,74
Other ethnic group: Any other ethnic group,E07000132,100
All usual residents,E07000133,50376
White,E07000133,49319
White: English/Welsh/Scottish/Northern Irish/British,E07000133,47861
White: Irish,E07000133,264
White: Gypsy or Irish Traveller,E07000133,3
White: Other White,E07000133,1191
Mixed/multiple ethnic groups,E07000133,414
Mixed/multiple ethnic groups: White and Black Caribbean,E07000133,151
Mixed/multiple ethnic groups: White and Black African,E07000133,45
