ethnicity,LAD19CD,count_lad19
Mixed/multiple ethnic groups,E06000003,853
Mixed/multiple ethnic groups: White and Black Caribbean,E06000003,298
Mixed/multiple ethnic groups: White and Black African,E06000003,107
Mixed/multiple ethnic groups: White and Asian,E06000003,273
Mixed/multiple ethnic groups: Other Mixed,E06000003,175
Asian/Asian British,E06000003,869
Asian/Asian British: Indian,E06000003,91
Asian/Asian British: Pakistani,E06000003,295
Asian/Asian British: Bangladeshi,E06000003,94
Asian/Asian British: Chinese,E06000003,155
Asian/Asian British: Other Asian,E06000003,234
Black/African/Caribbean/Black British,E06000003,122
Black/African/Caribbean/Black British: African,E06000003,80
Black/African/Caribbean/Black British: Caribbean,E06000003,34
Black/African/Caribbean/Black British: Other Black,E06000003,8
Other ethnic group,E06000003,130
Other ethnic group: Arab,E06000003,37
Other ethnic group: Any other ethnic group,E06000003,93
All usual residents,E06000004,191610
White,E06000004,181299
White: English/Welsh/Scottish/Northern Irish/British,E06000004,178965
White: Irish,E06000004,536
White: Gypsy or Irish Traveller,E06000004,143
White: Other White,E06000004,1655
Mixed/multiple ethnic groups,E06000004,1997
Mixed/multiple ethnic groups: White and Black Caribbean,E06000004,419
Mixed/multiple ethnic groups: White and Black African,E06000004,316
Mixed/multiple ethnic groups: White and Asian,E06000004,823
Mixed/multiple ethnic groups: Other Mixed,E06000004,439
Asian/Asian British,E06000004,6632
Asian/Asian British: Indian,E06000004,1488
Asian/Asian British: Pakistani,E06000004,3072
Asian/Asian British: Bangladeshi,E06000004,132
Asian/Asian British: Chinese,E06000004,866
Asian/Asian British: Other Asian,E06000004,1074
Black/African/Caribbean/Black British,E06000004,1133
Black/African/Caribbean/Black British: African,E06000004,936
Black/African/Caribbean/Black British: Caribbean,E06000004,84
Black/African/Caribbean/Black British: Other Black,E06000004,113
Other ethnic group,E06000004,549
Other ethnic group: Arab,E06000004,236
Other ethnic group: Any other ethnic group,E06000004,313
All usual residents,E08000037,200214
White,E08000037,192742
White: English/Welsh/Scottish/Northern Irish/British,E08000037,188355
White: Irish,E08000037,592
White: Gypsy or Irish Traveller,E08000037,87
White: Other White,E08000037,3708
Mixed/multiple ethnic groups,E08000037,1558
Mixed/multiple ethnic groups: White and Black Caribbean,E08000037,412
Mixed/multiple ethnic groups: White and Black African,E08000037,260
Mixed/multiple ethnic groups: White and Asian,E08000037,523
Mixed/multiple ethnic groups: Other Mixed,E08000037,363
Asian/Asian British,E08000037,3738
Asian/Asian British: Indian,E08000037,916
Asian/Asian British: Pakistani,E08000037,617
Asian/Asian British: Bangladeshi,E08000037,242
Asian/Asian British: Chinese,E08000037,1054
Asian/Asian British: Other Asian,E08000037,909
Black/African/Caribbean/Black British,E08000037,1081
Black/African/Caribbean/Black British: African,E08000037,903
Black/African/Caribbean/Black British: Caribbean,E08000037,90
Black/African/Caribbean/Black British: Other Black,E08000037,88
Other ethnic group,E08000037,1095
Other ethnic group: Arab,E08000037,289
Other ethnic group: Any other ethnic group,E08000037,806
All usual residents,E08000021,280177
White,E08000021,239533
White: English/Welsh/Scottish/Northern Irish/British,E08000021,229520
White: Irish,E08000021,1826
White: Gypsy or Irish Traveller,E08000021,163
White: Other White,E08000021,8024
Mixed/multiple ethnic groups,E08000021,4279
Mixed/multiple ethnic groups: White and Black Caribbean,E08000021,830
Mixed/multiple ethnic groups: White and Black African,E08000021,859
Mixed/multiple ethnic groups: White and Asian,E08000021,1609
Mixed/multiple ethnic groups: Other Mixed,E08000021,981
Asian/Asian British,E08000021,27107
Asian/Asian British: Indian,E08000021,5072
Asian/Asian British: Pakistani,E08000021,6364
Asian/Asian British: Bangladeshi,E08000021,4692
Asian/Asian British: Chinese,E08000021,6037
Asian/Asian British: Other Asian,E08000021,4942
Black/African/Caribbean/Black British,E08000021,5160
Black/African/Caribbean/Black British: African,E08000021,4664
